baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000026638.15	361.927665422432	7.41075761599703	0.44631642161532	16.6042683107555	6.49067650639825e-62	8.39867402975559e-60
ENSMUSG00000023039.17	400.962575037589	3.42144097530046	0.206454274006573	16.5723911106414	1.1034913647335e-61	1.41835423413745e-59
ENSMUSG00000034382.14	189.230631982239	4.17953361975567	0.25229463187694	16.5660822375099	1.22555078951332e-61	1.56480921998787e-59
ENSMUSG00000001552.14	2993.67998223352	2.22299127253268	0.134242445600262	16.5595260321177	1.36666370401727e-61	1.73350501404296e-59
ENSMUSG00000052397.8	1777.31090952223	1.92440498125511	0.11639964153529	16.5327397565195	2.13227409765213e-61	2.6869440916819e-59
ENSMUSG00000039621.13	289.939796466598	3.62733378284404	0.21967270498969	16.5124464735584	2.98531746841202e-61	3.73746238902492e-59
ENSMUSG00000092035.8	1088.64971465359	1.69385931310717	0.10271947797716	16.4901472093131	4.31895938711651e-61	5.37222819249073e-59
ENSMUSG00000025558.19	1723.29563524953	1.9126410428268	0.116027238909007	16.4844140118405	4.7487648283049e-61	5.86898627498195e-59
ENSMUSG00000020173.17	563.759934472767	2.2159199266972	0.134513160497029	16.4736291862397	5.67606179551955e-61	6.97034849793738e-59
ENSMUSG00000006310.10	235.506733397103	5.8656653702418	0.35607313023306	16.4732041600627	5.71608936254975e-61	6.97507613354173e-59
ENSMUSG00000027544.16	294.946015637527	6.97524441901343	0.424009560457705	16.4506772240793	8.2935697489506e-61	1.0056605330803e-58
ENSMUSG00000014602.15	1718.53269304286	-1.75432289883194	0.106775991609833	-16.4299377826653	1.16778701785147e-60	1.40718335651102e-58
ENSMUSG00000042306.11	541.170066949235	8.40825920879258	0.511826549806452	16.4279465611391	1.20676654218709e-60	1.44512167287994e-58
ENSMUSG00000037465.10	1308.29005081645	1.83087304354636	0.111885066335009	16.3638732452847	3.46379274915839e-60	4.12234100023294e-58
ENSMUSG00000041649.13	379.175695679802	3.28628594706496	0.20159569792285	16.3013694286403	9.65054214694067e-60	1.14148743922096e-57
ENSMUSG00000006342.15	253.313774300276	3.43158553431441	0.210526339843171	16.3000294256326	9.86446276093739e-60	1.15967586604191e-57
ENSMUSG00000011179.8	2039.92669161426	1.5678261594998	0.0963557569762047	16.2712245609463	1.57966769354416e-59	1.84581776554736e-57
ENSMUSG00000038028.9	674.134473208518	2.3576776580639	0.145406931374209	16.2143416120676	3.99333968190784e-59	4.63804753416766e-57
ENSMUSG00000026202.13	1455.86116592264	2.17689642507812	0.134499960932425	16.1851082333907	6.42368313247933e-59	7.41608447869469e-57
ENSMUSG00000092416.2	589.098496642739	3.18866352948382	0.197333549719662	16.1587501669824	9.85392710980255e-59	1.13085544450591e-56
ENSMUSG00000021696.9	248.78169043905	3.7023341712294	0.22931066412274	16.1454949572153	1.22164611171174e-58	1.3936885818818e-56
ENSMUSG00000021895.10	425.005480007701	2.5300783448008	0.157339236980389	16.0804030409539	3.50093873965606e-58	3.97047640591582e-56
ENSMUSG00000031803.8	200.521929074614	5.38269901606483	0.335171946432495	16.0595153423705	4.90367796575081e-58	5.52882521518571e-56
ENSMUSG00000039462.4	1342.09518291194	-1.89807899942003	0.118772583493666	-15.9807839788317	1.73944417136374e-57	1.94979555952866e-55
